rho,dt_s,reference_dt_s,paired_mean_difference_s,paired_difference_ci_low_s,paired_difference_ci_high_s,n,hits,mean_hit,mean_ci_low,mean_ci_high
0.0,0.002,0.00025,-0.04023837500000001,-0.043360634856218216,-0.0371161151437818,2000,2000,0.26837900000000003,0.2615409700983372,0.27521702990166286
0.0,0.001,0.00025,-0.018083375,-0.020115858189377327,-0.01605089181062267,2000,2000,0.290534,0.28351278353583415,0.2975552164641659
0.0,0.0005,0.00025,-0.005453625,-0.0068297224559705615,-0.004077527544029439,2000,2000,0.30316375,0.29601147848257436,0.31031602151742566
0.0,0.00025,0.00025,0.0,0.0,0.0,2000,2000,0.308617375,0.3013055225645742,0.31592922743542584
1.0,0.002,0.00025,-0.044461,-0.04782134288144136,-0.04110065711855864,2000,2000,0.280173,0.27252021406533167,0.28782578593466834
1.0,0.001,0.00025,-0.019045499999999996,-0.021388903260033013,-0.01670209673996698,2000,2000,0.3055885,0.2977300474202176,0.3134469525797824
1.0,0.0005,0.00025,-0.006639249999999999,-0.008083736301698789,-0.005194763698301209,2000,2000,0.31799475,0.30997056817539415,0.32601893182460584
1.0,0.00025,0.00025,0.0,0.0,0.0,2000,2000,0.32463400000000003,0.31646365652894676,0.3328043434710533
