beta,rho,n,hits,mean_hit,mean_ci_low,mean_ci_high
0.84,0.0,1500,1500,0.3067253333333333,0.2976422953741639,0.31580837129250267
0.84,1.0,1500,1500,0.31388000000000005,0.30372866389220504,0.32403133610779505
0.86,0.0,1500,1500,0.3027723333333333,0.29368295264094535,0.31186171402572127
0.86,1.0,1500,1500,0.31678566666666663,0.3071026973270469,0.32646863600628634
0.88,0.0,1500,1500,0.29883366666666666,0.28998026074901556,0.30768707258431777
0.88,1.0,1500,1500,0.30847566666666665,0.29888344664081573,0.31806788669251757
0.9,0.0,1500,1500,0.302703,0.29430550255209753,0.31110049744790247
0.9,1.0,1500,1500,0.3117253333333333,0.30274781265194056,0.32070285401472604
0.9166666666666666,0.0,1500,1500,0.30495733333333336,0.2969113278292745,0.31300333883739223
0.9166666666666666,1.0,1500,1500,0.31487766666666667,0.3060797699392345,0.3236755633940988
0.94,0.0,1500,1500,0.299066,0.2908637480017647,0.3072682519982353
0.94,1.0,1500,1500,0.29980333333333337,0.2921513003859595,0.30745536628070724
0.96,0.0,1500,1500,0.3099246666666667,0.30148523609408195,0.3183640972392514
0.96,1.0,1500,1500,0.3150116666666667,0.3063922592762272,0.32363107405710617
0.98,0.0,1500,1500,0.3025163333333334,0.294680568684285,0.3103520979823818
0.98,1.0,1500,1500,0.30452233333333334,0.2967648056114198,0.31227986105524685
