path_id,seed,hit_power_s,j_at_hit_power,hit_linear_s,j_at_hit_linear
1,734921,0.893,102.8707822701875,0.364,201.29966843494705
2,734921,0.9055,863.7838396407703,0.23600000000000002,45.201588084214656
3,734921,0.664,371.67435351772343,0.788,64.52598934227095
4,734921,0.5965,171.89757994381995,0.8025,120.9467162112048
5,734921,0.3805,226.93217618508504,0.6335000000000001,768.6401646263434
6,734921,0.898,287.99190217028246,0.961,711.23088778838
7,734921,0.5465,20.707343671383992,0.5115000000000001,83.07607329199477
8,734921,1.738,4321.325016598942,1.408,1549.0220655663425
9,734921,2.8065,71203.64326440972,0.3865,40.1328778972118
10,734921,0.486,19.982852400482148,0.5585,822.031734349848
11,734921,0.23,36.08200281554894,0.5045000000000001,71.3432938663056
12,734921,0.679,522.0709703801825,0.9135,465.3906390627669
13,734921,1.07,8409.364600395507,0.3915,35.74106920171383
14,734921,1.006,1430.3129530680646,1.114,100.44052088242995
15,734921,0.8170000000000001,222.05430600198906,0.551,409.6844761442166
16,734921,0.579,9.949936728013935,1.494,4373.738921885777
17,734921,0.7285,395.9288254726981,0.8855000000000001,6223.499555168525
18,734921,0.9235,1171.5779551205826,0.658,393.4091135161098
19,734921,0.772,801.7268921024672,0.441,24.238334476308765
20,734921,0.41250000000000003,15.546245371946878,0.764,7239.980147924536
21,734921,0.273,40.71702199273956,0.685,164.35756177343907
22,734921,0.455,76.97818162936372,0.3035,11.886349818147885
23,734921,0.5085000000000001,57.36488487182359,0.448,7.686840863695309
24,734921,2.019,16703.58623035867,0.8270000000000001,116.53184785336039
25,734921,0.52,125.92937936379919,0.792,12997.779853665246
26,734921,0.47450000000000003,740.1032425395142,1.131,24.68166109716664
27,734921,1.2025000000000001,3771.6076009778003,0.8280000000000001,550.121998150158
28,734921,0.788,6007.338980486494,1.031,62.478911797123295
29,734921,0.9005,65.12639143321071,0.297,32.12484072308699
30,734921,0.7245,287.03446106196543,0.3955,17.05931454968057
31,734921,0.8025,238.6311644737455,0.866,1161.8531354487754
32,734921,1.143,545.8164146749093,0.322,25.051863068475985
33,734921,0.4385,222.85521413015115,0.612,92.7253546578642
34,734921,2.165,41846.617497551466,0.876,57.80734849903813
35,734921,0.246,26.02719836533059,0.608,147.53970478361344
36,734921,0.3195,52.5423885480831,0.34650000000000003,73.20899938421114
37,734921,0.468,61.93659188932685,0.4265,192.72414707136357
38,734921,0.2935,6.594986302298522,0.745,226.40225255328227
39,734921,0.431,29.863041248250788,0.2415,21.503284136813452
40,734921,0.6905,615.8502547675794,0.2185,30.208542006836904
41,734921,0.9095,142.74962191616683,0.5465,9.976548159492982
42,734921,0.384,78.86278543213614,1.9255,3604.4844437647785
43,734921,0.2785,32.65470396090234,0.909,23422.863009326906
44,734921,0.47650000000000003,89.90612004625285,0.8615,8189.017447987956
45,734921,0.606,18.979731824790754,0.28200000000000003,187.3067138924177
46,734921,0.663,142.0861743722122,0.8325,871.3296915413302
47,734921,0.41200000000000003,168.24002979256397,0.20600000000000002,97.41943041267751
48,734921,0.5195,49.66452233545064,0.7845,58904.99990489963
49,734921,0.3185,192.6337767179148,0.6365000000000001,45.99327150830827
50,734921,0.602,3869.510630298446,0.7195,40924.43836930928
51,734921,0.5125,179.1907438864077,0.556,30.406546169052902
52,734921,0.7425,164.98234100826383,1.6405,6131.1459692767385
53,734921,1.067,55.44215182458998,0.185,16.81910582084478
54,734921,0.427,50.37242741178527,0.5205,458.8997360755253
55,734921,0.4655,15.019692707797525,0.295,32.784443403394064
56,734921,1.42,4756.641880396487,0.85,527.5965524549943
57,734921,0.28,135.24355637197664,0.734,88742.11380652162
58,734921,0.1355,10.043481946390665,0.468,48.53090834723933
