rho,epsilon,n,hits,mean_hit,mean_ci_low,mean_ci_high
0.0,0.01,5000,5000,0.24283159999999998,0.238638023936481,0.24702517606351895
0.0,0.001,5000,5000,0.3010264,0.2964839589758304,0.30556884102416965
0.0,0.0001,5000,5000,0.3452328,0.3404791056653578,0.34998649433464224
1.0,0.01,5000,5000,0.24727770000000002,0.24296179567455523,0.2515936043254448
1.0,0.001,5000,5000,0.3078119,0.3031134627267438,0.3125103372732563
1.0,0.0001,5000,5000,0.3565046,0.3515509067948424,0.3614582932051576
