time_s,leader,state_full_1,state_full_2,state_full_3,state_full_4,error_full_1,error_full_2,error_full_3,error_full_4,error_power_1,error_power_2,error_power_3,error_power_4,error_linear_1,error_linear_2,error_linear_3,error_linear_4,error_none_1,error_none_2,error_none_3,error_none_4,hit_time_full_s
0.0,1.0,4.0,3.0,-5.0,-1.0,3.0,2.0,-6.0,-2.0,3.0,2.0,-6.0,-2.0,3.0,2.0,-6.0,-2.0,3.0,2.0,-6.0,-2.0,0.221
0.0005,1.0000711956169668,4.072753841978762,3.0532339126472956,-5.138811503342639,-1.0477797163183262,3.072682646361795,2.053162717030329,-6.138882698959606,-2.047850911935293,3.0665215296040973,2.0487752550968166,-6.126560465444211,-2.044023551525208,3.006339418115535,2.0045625573818104,-6.01364336103556,-2.0049697516440186,3.0001783013578374,2.000175095448298,-6.001321127520164,-2.0011423912339334,0.221
0.001,1.0001424139079669,4.493804863355437,3.3633778733280963,-5.927998503838699,-1.3221213660794078,3.49366244944747,2.3632354594201295,-6.928140917746666,-2.3222637799873747,3.5379583906713328,2.3947953396706496,-7.016723362681036,-2.349794169346153,2.956300149687431,1.9689705499880552,-5.914514221555623,-1.9749064549830884,3.000356580542501,2.000350170294554,-6.002642277634374,-2.0022851420227403,0.221
0.0015,1.0002136553777088,4.687393361035561,3.497731122319794,-6.342807685891482,-1.436388785140924,3.687179705657852,2.497517466942085,-7.343021341269191,-2.436602440518633,3.264102901745491,2.191676299887722,-6.504295966647618,-2.174259079409385,3.349556408306275,2.2487984985429694,-6.702138318444144,-2.2207288652361092,3.0005348375491585,2.0005252245331815,-6.003963450346913,-2.0034282519269446,0.221
0.002,1.0002849205310567,5.343963538376809,3.97341988303209,-7.647281421951018,-1.843209935612092,4.343678617845753,2.9731349625010335,-8.647566342482074,-2.8434948561431486,3.306958492784994,2.2233019047342344,-6.585937233004664,-2.2030311500697453,3.902831101715366,2.6456228381615894,-7.810784041006736,-2.5635950033570407,3.0007130723728195,2.000700258158442,-6.005284645662225,-2.0045717205069873,0.221
0.0025,1.0003562098730303,4.802296594384659,3.5740878338949624,-6.588827369168849,-1.5087180398091646,3.8019403845116284,2.5737316240219323,-7.589183579041879,-2.509074249682195,3.1578261143112702,2.1133312984712185,-6.306382677992419,-2.1077105902679665,3.588051680819695,2.417746118653116,-7.180871950703536,-2.3721223511951703,3.000891285008339,2.0008752711644435,-6.006605863584907,-2.0057155473232298,0.221
0.003,1.0004275239088045,4.665911219972166,3.4709430755837016,-6.343219338518905,-1.4199036276002435,3.665483696063362,2.470515551674897,-7.343646862427709,-2.420331151509048,2.9606207073976125,1.9684482041890272,-5.935553002101167,-1.9811214100410965,3.6799924070767425,2.4839702794964955,-7.3659988556048654,-2.4298746488787377,3.001069475450415,2.0010502635451424,-6.007927104119719,-2.0068597319359567,0.221
0.0035,1.0004988631437086,4.941003977615991,3.6683858554177196,-6.899620747629165,-1.5892192556754845,3.9405051144722822,2.6678869922740107,-7.900119610772874,-2.589718118819193,2.931658138385166,1.9473226703537316,-5.881756815999823,-1.9633628415609439,3.9916431601628175,2.7087202210037975,-7.991398745783182,-2.6227247504109195,3.0012476436935898,2.0012252352943416,-6.009248367271574,-2.0080042739053794,0.221
0.004,1.0005702280832258,5.386685639838283,4.002290383989511,-7.729590427003221,-1.8778314979119557,4.386115411755057,3.001720155906285,-8.730160655086447,-2.8784017259951815,3.3733270917221367,2.2699490752377733,-6.718618864281754,-2.2509482874859916,3.8571778662379517,2.611300746798995,-7.722762496357757,-2.541573436903193,3.001425789732249,2.0014001864056925,-6.010569653045547,-2.0091491727916395,0.221
0.0045000000000000005,1.0006416192329928,6.915050911645705,5.141545144695752,-10.646009582811054,-2.844604086603784,5.914409292412712,4.140903525462759,-11.646651202044048,-3.845245705836777,4.3069989896360354,2.959286340890508,-8.476046668739531,-2.8565452777790896,4.158017575456411,2.828900076049094,-8.326803817212953,-2.7273962848990516,3.0016039135606234,2.0015751168726927,-6.011890961446866,-2.010294428154812,0.221
