path_id,seed,hit_rho_0p00_s,j_at_hit_rho_0p00,hit_rho_0p25_s,j_at_hit_rho_0p25,hit_rho_0p50_s,j_at_hit_rho_0p50,hit_rho_0p75_s,j_at_hit_rho_0p75,hit_rho_1p00_s,j_at_hit_rho_1p00
1,734921,0.264,111.51228577099074,0.2675,85.0391610919036,0.269,65.34123080078919,0.27,49.96743506104195,0.2975,34.00608673473509
2,734921,0.158,28.74803829136306,0.159,25.33643541568905,0.2605,22.78160332501894,0.271,20.9727748254044,0.4865,22.96433589616239
3,734921,0.4355,34.80970241142637,0.436,35.10766655843604,0.446,37.48581059997417,0.446,42.9819874401075,0.446,66.66904598551268
4,734921,0.34500000000000003,264.1279509560193,0.34550000000000003,265.62818078941655,0.34550000000000003,254.4845159179464,0.34600000000000003,228.24041828514456,0.34600000000000003,151.4079693618951
5,734921,0.225,2897.9167444745985,0.20800000000000002,2906.879226306314,0.20750000000000002,2481.619334539598,0.1865,1677.4706372420214,0.184,375.55857120564434
6,734921,0.5325,1010.6334971784523,0.5305,1223.5675766327101,0.5215,1447.1055958819352,0.513,1625.5732418715147,0.3955,1352.7340039427343
7,734921,0.132,56.80860857562347,0.132,46.099902358499584,0.132,37.62488303743869,0.132,30.344120435923806,0.1345,21.069023546341054
8,734921,0.8210000000000001,10130.892278169515,0.8735,12998.78530737286,0.8735,12864.23997287171,0.85,9222.734128208816,0.678,1543.5207327965747
9,734921,0.417,94.54421963707138,0.595,170.4128845514186,0.623,532.8066048147481,0.7125,3005.073766953118,0.79,65209.63278229834
10,734921,0.224,144.5549884629603,0.1885,106.28170922890774,0.187,80.58388001570414,0.1775,59.606102827345374,0.168,32.283798573745486
11,734921,0.156,89.0997629791473,0.1545,95.20454927652689,0.1525,100.81550200879168,0.15,105.7555749566028,0.1495,108.38092136691337
12,734921,0.441,2063.008206001818,0.4415,2461.3210644339065,0.4415,2709.0750046141948,0.4415,2670.6242814462103,0.438,1541.1565356391368
13,734921,0.3895,699.7628713174188,0.403,1667.5227595470444,0.41200000000000003,3826.1878367780564,0.47650000000000003,8744.944379123273,0.48,28908.31856763172
14,734921,0.6715,77.17224250585814,0.6715,92.20684692707003,0.67,115.1198323705605,0.6525,140.81817264555892,0.5145,161.88618266198566
15,734921,0.3325,473.0991056219617,0.3325,462.80691757971795,0.3325,452.768683423596,0.332,421.74558178830307,0.3265,249.14675496816128
16,734921,0.3675,116.03972471554997,0.334,44.25203235119142,0.326,20.794589588011313,0.3175,13.285626636350425,0.2445,9.978581912151379
17,734921,0.405,9481.817122885903,0.4045,7997.078597287593,0.3835,6901.406820647238,0.3785,5511.668615099029,0.35150000000000003,2212.587456382843
18,734921,0.546,370.9446696448236,0.548,324.58961508303474,0.5525,283.4013806279144,0.551,235.87909240819383,0.518,140.44781553289275
19,734921,0.129,42.21232956277427,0.1655,56.28593945690971,0.17350000000000002,105.49957701440167,0.219,329.95776165471256,0.2945,4769.550275563323
20,734921,0.41100000000000003,32.88525060385973,0.3965,25.89550215954415,0.276,23.004698107010693,0.2085,21.469691427695167,0.111,21.36788063656818
21,734921,0.178,91.0920708170252,0.151,88.41318498213946,0.151,85.97064149077875,0.15,83.28603882081927,0.14400000000000002,77.7907982592423
22,734921,0.1805,12.10599797182572,0.213,14.265104595729525,0.2145,17.703652933058844,0.216,24.15312281960859,0.2525,56.70491800591675
23,734921,0.135,14.838991607996977,0.1405,17.840801421867976,0.1615,22.115450458757337,0.20650000000000002,29.68155282116748,0.234,75.05352242450172
24,734921,0.2685,220.29541846164665,0.5670000000000001,263.57057666178565,0.5805,366.64323163626165,0.5805,684.6648090177943,0.5805,1069.9788898870986
25,734921,0.4375,2826.523331025323,0.422,1834.9901122797166,0.3885,1170.6554578785353,0.3195,668.2309423551254,0.2765,163.9210227298374
26,734921,0.3245,54.60244995015192,0.325,75.65794631905015,0.327,117.6931593374067,0.3285,213.7185964436943,0.3555,654.9819581465537
27,734921,0.7010000000000001,667.6983548625316,0.709,690.0386903442668,0.709,652.1202699049697,0.6975,510.08025994238636,0.4285,189.2554541928665
28,734921,0.37,846.4482347885805,0.378,2135.582147611008,0.3865,5036.358838212336,0.4025,10651.197018494138,0.41250000000000003,12678.919086320104
29,734921,0.1545,37.00510437547149,0.1545,34.679517958577385,0.1605,33.04604267518179,0.1685,32.52787661435839,0.241,39.22706718748281
30,734921,0.3405,31.997751364367844,0.343,42.57908289027444,0.34500000000000003,56.75429897305248,0.359,75.78981183342796,0.385,109.23789642526576
31,734921,0.5005000000000001,3186.5009512952934,0.5035000000000001,2701.798196387529,0.5,1919.1395889268235,0.499,1041.6989174649611,0.274,233.26432542696236
32,734921,0.2635,64.29560398430819,0.2675,73.41569932600423,0.28350000000000003,83.46046044310701,0.29,96.26391325548173,0.321,171.66692579635776
